,Fecha_Publicación,Titulo,viewCount,likeCount,dislikeCount,commentCount,Duración_segs,Tags,Descripcion,videoID,Edicion
0,2019-10-07,TEDxRosario 2019: A la décima potencia,3833,90,0,7,206,"['tedxrosario', 'tedx', 'rosario', 'argentina', 'santa fe', 'destacado', 'tedxlabs', 'drones', 'planetario', 'parque urquiza', 'anfiteatro', 'nico ilustraciones', 'cecilia ce', 'juan castro', 'alberto rojo', 'javier yunes', 'julian dominguez', 'tedx argentina', 'tedx rosario', 'javier artigas']","Momentos de TEDxRosario 2019: A la décima potencia, realizado el 5 de octubre del 2019 en el Anfiteatro municipal Humberto de Nito con 7500 asistentes",ilC6WOT9xEE,TEDxRosario 2019: A la décima potencia - 05/08/2019
1,2019-11-22,La ecuación del sexo | Cecilia Ce | TEDxRosario,635705,20604,537,413,883,"['TEDxTalks', 'Spanish', 'Life', 'Humanity', 'Humor', 'Life Development', 'Sex', 'Sexual Orientation']","¿Cómo se llega al orgasmo? ¿Se puede medir el sexo? ¿Cuántas veces tuviste relaciones esta semana? Cecilia nos comparte una fórmula para tener mejor sexo.  Estudió psicología creyendo que no iba a hacer consultorio y hoy lleva diez años atendiendo pacientes. Trabajó con adictos muchos años, hasta que se animó a seguir su verdadera pasión y se formó como sexóloga. Su búsqueda es promover una sexualidad libre, empática, informada y descontracturada. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",WZVOLmUNBzM,TEDxRosario 2019: A la décima potencia - 05/08/2019
2,2019-12-02,La edición genética aplicada para un mundo sustentable | Gustavo Schujman | TEDxRosario,720,18,2,0,692,"['TEDxTalks', 'Spanish', 'Science', 'Biotech', 'Environment', 'Global issues', 'Recycling', 'Technology']","Gustavo nos cuenta sobre la tecnología que han desarrollado para producir plástico biodegradable y otros materiales amigables con el medioambiente, a partir de residuos industriales, por medio de bacterias modificadas genéticamente. En el país, estudió Bioquímica, se desempeñó como docente y obtuvo un doctorado en Ciencias Biológicas. En el extranjero, investigó en el Instituto Tecnológico de Massachussets y en el Instituto Pasteur de París. Actualmente, es socio fundador y Gerente de INMET, empresa dedicada a la transformación de residuos agroindustriales en moléculas de mayor valor agregado. Pese a todos estos logros, dicen que donde mejor se destaca es en la parrilla. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",sbqvcXs3otI,TEDxRosario 2019: A la décima potencia - 05/08/2019
3,2019-12-02,La innovación como clave para educar en contextos vulnerables | María Cristina Gomez | TEDxRosario,1294,57,0,0,935,"['TEDxTalks', 'Spanish', 'Education', 'Education reform', 'Innovation', 'Poverty', 'Social Change', 'Social Justice']","Maria Cristina nos desafía a dejar de lado la  ""pedagogía de la lástima"" y brindar los mejores recursos a estudiantes que están en contextos de vulnerabilidad socio económica. Fue elegida como una de los 50 mejores maestras del mundo, por el Global Teacher Prize por su trabajo como educadora y diseñando programas educativos innovadores. Fundó la Red de Educadores Innovadores, desde Rosario para el mundo. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",iSAiMn1_d5k,TEDxRosario 2019: A la décima potencia - 05/08/2019
4,2020-03-03,Arte con microorganismos: la belleza de un mundo invisible | Luciana Paoletti | TEDxRosario,636,23,0,1,629,"['TEDxTalks', 'Spanish', 'Art', 'Bacteria', 'Microbiology', 'Photography', 'Science']","Luciana nos lleva a un viaje a través del invisible pero potencialmente hermoso mundo de la micro-biología, en una combinación asombrosa de arte y ciencia que nos deja pensando en la huella literal que dejamos en el mundo.  Biotecnóloga, Doctora en Ciencias Biológicas, docente en el área de Microbiología y además, artista visual. Como científica trabajó en diferentes temáticas, actualmente en la producción de enzimas de uso industrial y biogás. Como artista, estudia su entorno cercano. La fusión constante entre lo objetivo y lo subjetivo en estos proyectos genera resultados pertenecientes al campo artístico, que simultáneamente quedan excluidos del científico. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",ZdFk_R5cp6c,TEDxRosario 2019: A la décima potencia - 05/08/2019
5,2020-03-03,Protagonista de una cadena de milagros | Javier Artigas Herrera | TEDxRosario,3143,76,0,4,1248,"['TEDxTalks', 'Spanish', 'Life', 'Entrepreneurship', 'Health', 'Illness', 'Struggle', 'Travel']","Javier nos cuenta una verdadera historia de película, de cómo su emprendimiento, que nació de la necesidad personal, hoy permite a cientos de miles de personas enfermas viajar tranquilas por el mundo. En una cadena de milagros de la que es protagonista involuntario, a Javier le diagnostican una enfermedad, crea su empresa, le salva la vida al escritor Hernán Casciari y recibe en su casa de Uruguay al fundador de AirBNB, todo mientras escala su startup a una multinacional en más de 150 países. Una historia tan increíble, que Disney decidió convertirla en la primera película de Hollywood sobre una startup latinoamericana. Protagonista involuntario de una cadena de milagros, ha pasado de estar en coma y perder su empleo a salvarle la vida a Hernán Casciari, ser anfitrión del fundador de Airbnb en su casa en Montevideo y liderar una startup con presencia en más de 150 países. En el medio recibió un trasplante de riñón y ahora intenta, a través de su empresa Connectus Medical, darle una vida mejor a pacientes de diálisis de todo el mundo. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",Q51BcsYh1vQ,TEDxRosario 2019: A la décima potencia - 05/08/2019
6,2020-01-21,Deconstruyendo el concepto de belleza | Candela Yatche | TEDxRosario,28555,1647,32,90,755,"['TEDxTalks', 'Spanish', 'Humanities', 'Body', 'Mental health', 'Self', 'Self-help', 'Social Change', 'Social Interaction']","Candela nos invita a reflexionar sobre cómo la belleza es una construcción social y la tarea que día a día tenemos que hacer para potenciar la  auto aceptación, inmersos en una sociedad más preocupada por vender que por cuidar de nuestro bienestar.
Nos cuenta sobre Bellamente (www.bellamente.com.ar), un proyecto social que propone un espacio de diálogo real y virtual para repensar los estereotipos de belleza y aprender a querernos como somos. Trabaja para inspirar a las personas a conectar con lo mejor de sí mismos, para eso estudia psicología, dirige el proyecto social Bellamente, organiza festivales, dicta cursos en varias provincias del país y hasta escribió una novela. Es una incansable militante de la autoaceptación de 22 años. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",ru77Omox_UE,TEDxRosario 2019: A la décima potencia - 05/08/2019
7,2020-02-24,Crisis climática VS Intereses económicos | Nazareno Castillo Marin | TEDxRosario,1542,65,1,2,835,"['TEDxTalks', 'Spanish', 'Global Issues', 'Climate Change', 'Economics', 'Global issues', 'Policy', 'Pollution', 'Social Change']","En un mundo al borde de una crisis climática, Nazareno nos advierte que debemos dejar de esperar que otros la resuelvan. Nos cuenta de forma muy clara lo que ocurre dentro de las negociaciones internacionales, como el Acuerdo de París, y por qué es importante que comencemos a escuchar a nuestro amigo ecologista. Biólogo que desde sus inicios se interesó por el calentamiento global. Fue así como comenzó su carrera en la Secretaría de Ambiente de la Nación, donde ocupó el cargo de Director de Cambio Climático durante siete años, negociando por el país en la Convención de Naciones Unidas y coordinando el equipo que preparó la primera contribución que presentó la Argentina en el marco del Acuerdo de París. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",3lV9jg1WQTA,TEDxRosario 2019: A la décima potencia - 05/08/2019
8,2020-01-14,"¿Cuánto tiempo es un ""tiempito"" cuando hablamos de adopción? | Marcelo Molina | TEDxRosario",3056,76,1,2,941,"['TEDxTalks', 'Spanish', 'Social Sciences', 'Childhood', 'Children', 'Law', 'Life', 'Social Justice', 'Society']","Marcelo, a partir de una obra teatral que aborda la problemática de adopción y es protagonizada por jueces, camaristas, ex magistrados y empleados de los Tribunales, nos desafía a repensar los procesos judiciales, y los propios, desde los tiempos de las personas más vulnerables en nuestra sociedad: los niños y las niñas. Fue juez de familia en su Rosario natal durante casi diez años y es docente de esa materia en la Universidad Nacional de Rosario. Hace tres años escribió un libro que relata brevemente historias vividas en su juzgado y que hoy se transformó en obra de teatro: ""¿Cuánto tiempo es un tiempito?"", que protagonizan jueces, secretarias, empleados y empleadas judiciales y un grupo de adolescentes. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",eZzrA4GOOJg,TEDxRosario 2019: A la décima potencia - 05/08/2019
9,2020-03-24,La igualdad empieza en el lenguaje | Juan Bonnin | TEDxRosario,4891,151,14,19,561,"['TEDxTalks', 'Spanish', 'Social Sciences', 'Communication', 'Empathy', 'Language', 'Linguistics', 'Medicine', 'Writing']","A través de algunas historias, Juan nos muestra qué pasa cuando la comunicación falla sin querer. Nos invita a pensar críticamente como evitar esos desencuentros para incluir a través del lenguaje. Lingüista, investigador y docente. De chico quería ser ingeniero agrónomo, pero no podía dejar de leer literatura en las clases de biología. Investiga la lengua en el CONICET y enseña a investigar en la Universidad Nacional de San Martín. Estudia para entender cómo el lenguaje afecta nuestra manera de ver y actuar en el mundo, cómo puede facilitar u obstaculizar el acceso a derechos y sobre todo, cómo podemos hacer para mejorar esa situación. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",pmymU199a-w,TEDxRosario 2019: A la décima potencia - 05/08/2019
10,2020-03-24,Reflejos ilustrados de la vida cotidiana | Nicolas Vilela | TEDxRosario,2519,145,1,8,611,"['TEDxTalks', 'Spanish', 'Art', 'Activism', 'Beauty', 'Cartoon', 'Comedy', 'Empathy']","Nico Ilustraciones a través de sus dibujos ayuda a más de un millón de personas a comunicar lo que sienten, cuando la simpleza de lo cotidiano despierta emociones difíciles de expresar. Dibujante, humorista gráfico. Ilustra situaciones cotidianas, simples, que nos pasan todos los días. Su mirada nos llega al alma y nos roba una sonrisa. Más de un millón de personas lo siguen en instagram. @nicoilustraciones This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",1odz43Xvsqw,TEDxRosario 2019: A la décima potencia - 05/08/2019
11,2020-04-29,One simple trick to reclaim your power | Kasia Urbaniak | TEDxRosario,167421,2048,68,59,1237,"['TEDxTalks', 'English', 'Global Issues', 'Communication', 'Connection', 'Gender', 'Leadership', 'Women', 'Women in business']","Throughout centuries, women have been trained to give up their power. With a simple communicational hack, they can reclaim their power when facing gender inequality, no matter the stakes. But the question is, why do women freeze in the first place? In this provocative and insightful talk, Kasia Urbaniak explores the effects of cultural conditioning and the difference between power and gender dynamics, while teaching us to change the way we have conversations as a society, so both women and men can reach their full potential as human beings. 

Kasia Urbaniak spent 17 years studying to become a Taoist nun. To foot the bill for her studies, she worked as a high-paid (and extremely successful) dominatrix in dungeons around New York City. What she learned in these two wildly different settings has turned into her life’s work, teaching women about power dynamics and influence to become better leaders. Her mission: to redefine what it means to be a good girl.

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",9W1_vUiMC6E,TEDxRosario 2019: A la décima potencia - 05/08/2019
12,2020-05-13,El fruto de transformar a la ciencia en empresas | Matías Viel | TEDxRosario,1084,31,2,5,919,"['TEDxTalks', 'Spanish', 'Business', 'Bees', 'Entrepreneurship', 'Food', 'Productivity', 'Science', 'Technology']","Matias nos cuenta su experiencia como emprendedor. De cuando se sumergió en el mundo de la ciencia para aprender sobre las abejas. Y de la creación de una empresa, Beeflow, que busca mejorar la eficiencia en la producción de alimentos a nivel global.  Cuando era chico, soñaba con participar de un Juego Olímpico. Sin embargo, estudió Administración de Empresas y conoció su nueva pasión: los emprendimientos. Actualmente vive en California, hogar del mercado más grande de frutas y verduras, donde busca convertir a su nuevo emprendimiento, Beeflow, en la empresa global líder en la polinización de cultivos. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",1ONOnahpouI,TEDxRosario 2019: A la décima potencia - 05/08/2019
13,2018-12-13,TEDxRosario 2018: Al límite de la ignorancia,1927,29,0,1,188,"['tedx', 'tedxrosario', 'tedxrosario2018', 'al limite de la ignorancia', 'anfiteatro', 'humberto de nito', 'parque', 'urquiza', 'rosaio', 'santa fe', 'argentina', 'rio', 'parana', 'drones', 'dron', 'aerea', 'evento', 'ideas', 'charlas', 'osde', 'macro', 'municipalidad']","Preparativos previos y postales de lo que fue TEDxRosario 2018: Al límite de la ignorancia.
The making of and highlights of TEDxRosario 2018: To the limits of ignorance",AQCE-ZD_j-g,TEDxRosario 2018: Al límite de la ignorancia - 06/10/2018
